rikishi1_rank_name,rikishi2_rank_name,rikishi1_rank_level,rikishi2_rank_level,rikishi1_win_prc,rikishi2_win_prc,rikishi1_fusen,rikishi2_fusen,rikishi1_hth_wins,rikishi2_hth_wins,y
K,M,1,3,0.21428571428571427,0.35714285714285715,0,0,2,0,no
M,S,3,1,0.07142857142857142,0.35714285714285715,0,0,1,2,yes
S,M,1,5,0.6428571428571429,0.6428571428571429,0,0,0,0,yes
O,O,3,2,0.7142857142857143,0.7142857142857143,0,0,13,24,yes
O,O,2,1,0.7857142857142857,0.5,0,0,13,25,no
Y,O,1,1,0.7857142857142857,1,0,0,19,3,yes
M,M,16,16,0.5,0.5,0,0,1,1,yes
M,M,15,15,0.5,0.5,0,0,2,1,no
M,M,14,14,0.5,0.5,0,0,1,0,no
M,M,13,13,0.5,0.5,0,0,4,2,no
M,M,12,12,0.5,0.5,0,0,2,6,yes
M,M,11,11,0.5,0.5,0,0,0,1,yes
M,M,10,10,0.5,0.5,0,0,2,1,no
M,M,9,9,0.5,0.5,0,0,1,3,yes
M,M,8,8,0.5,0.5,0,0,0,0,yes
M,M,7,7,0.5,0.5,0,0,3,2,no
M,M,6,6,0.5,0.5,0,0,0,0,yes
M,M,5,5,0.5,0.5,0,0,0,1,no
M,M,4,4,0.5,0.5,0,0,5,1,no
S,M,1,3,0.5,0.5,0,0,5,5,yes
M,S,3,1,0.5,0.5,0,0,3,9,no
O,M,3,2,0.5,0.5,0,0,9,2,yes
M,O,2,2,0.5,0.5,0,0,8,12,no
O,M,2,1,0.5,0.5,0,0,2,0,no
O,M,1,1,0.5,0.5,0,0,0,0,yes
O,K,1,1,0.5,0.5,0,0,1,1,yes
Y,K,1,1,0.5,0.5,0,0,12,0,yes
M,M,16,15,0,1,0,0,1,0,no
M,M,13,16,1,1,0,0,2,2,yes
M,M,13,15,0,0,0,0,2,1,yes
M,M,12,14,0,1,0,0,1,3,no
M,M,12,14,1,0,0,0,1,0,yes
M,M,11,9,1,0,0,0,0,1,no
M,M,9,11,1,0,0,0,0,0,yes
M,M,8,10,0,1,0,0,2,0,yes
M,M,8,10,1,0,0,0,1,0,yes
M,M,5,7,0,0,0,0,8,2,no
M,M,5,7,1,1,0,0,1,1,no
M,M,4,6,0,1,0,0,11,3,yes
M,M,6,4,0,1,0,0,1,0,yes
S,M,1,3,1,0,0,0,7,1,yes
M,S,3,1,0,1,0,0,7,10,no
M,O,2,1,0,1,0,0,2,6,no
O,M,3,2,1,0,0,0,6,16,yes
O,M,2,1,1,1,0,0,1,0,yes
O,K,2,1,0,0,0,0,9,4,no
O,K,1,1,1,0,0,0,1,0,yes
Y,M,1,1,1,0,0,0,0,0,yes
M,M,15,16,0,0,0,0,4,2,yes
M,M,16,15,0.5,1,0,0,5,4,yes
M,M,13,14,0.5,0,0,0,1,0,yes
M,M,13,14,1,1,0,0,1,0,yes
M,M,12,11,1,0,0,0,1,1,yes
M,M,11,12,0.5,0,0,0,1,3,no
M,M,9,10,1,0.5,0,0,0,1,no
M,M,10,9,0,0.5,0,0,3,2,no
M,M,8,7,1,0.5,0,0,5,4,no
M,M,7,8,1,0.5,0,0,0,0,yes
M,M,5,6,0.5,0.5,0,0,5,4,no
M,M,5,6,0,0.5,0,0,2,0,no
M,M,3,4,0,0.5,0,0,4,5,yes
M,M,3,4,0,0.5,0,0,7,4,no
S,K,1,1,1,0,0,0,1,0,yes
O,M,1,2,1,0,0,0,14,10,yes
O,M,1,1,1,0,0,0,0,0,yes
S,O,1,3,1,1,0,0,12,20,yes
O,K,2,1,1,0.5,0,0,6,7,no
O,M,2,2,0,0,0,0,6,1,yes
Y,M,1,1,1,0.5,0,0,1,0,yes
M,M,15,14,0.6666666666666666,0,0,0,1,1,yes
M,M,13,16,1,0,0,0,0,1,no
M,M,13,16,0.6666666666666666,0.6666666666666666,0,0,5,1,no
M,M,15,12,0.3333333333333333,0.3333333333333333,0,0,0,4,yes
M,M,11,14,0.3333333333333333,0.6666666666666666,0,0,1,1,yes
M,M,10,12,0,1,0,0,2,5,yes
M,M,9,11,0.6666666666666666,0,0,0,0,0,yes
M,M,8,10,0.6666666666666666,0.6666666666666666,0,0,0,1,no
M,M,9,7,0.6666666666666666,0.6666666666666666,0,0,8,2,yes
M,M,6,7,0.6666666666666666,1,0,0,0,1,no
M,M,5,8,0.3333333333333333,0.3333333333333333,0,0,0,0,yes
M,M,4,6,0.6666666666666666,0.6666666666666666,0,0,0,0,yes
M,M,5,3,0,0.3333333333333333,0,0,1,4,yes
M,M,2,4,0,0.3333333333333333,0,0,6,3,no
S,K,1,1,1,0.6666666666666666,0,0,5,8,no
O,K,2,1,0.3333333333333333,0,0,0,2,0,yes
O,M,1,1,1,0.3333333333333333,0,0,0,1,yes
S,O,1,1,1,1,0,0,7,15,yes
M,O,3,3,0,0.6666666666666666,0,0,10,8,no
O,M,2,1,0.6666666666666666,0,0,0,0,0,yes
Y,M,1,2,1,0,0,0,15,1,yes
M,M,15,16,0.5,0.75,0,0,1,4,no
M,M,16,14,0.25,0,0,0,0,3,yes
M,M,13,14,0.5,0.5,0,0,0,1,no
M,M,12,15,0.75,0.75,0,0,1,2,no
M,M,13,12,0.75,0.25,0,0,1,0,yes
M,M,11,10,0,0.75,0,0,0,1,yes
M,M,11,10,0.5,0.25,0,0,1,1,yes
M,M,9,8,0.75,0.5,0,0,8,6,no
M,M,9,7,0.75,0.5,0,0,2,4,no
M,M,6,8,0.5,0.25,0,0,0,0,yes
M,M,7,6,1,0.5,0,0,0,0,yes
M,M,5,4,0.5,0.5,0,0,6,4,no
M,M,5,4,0.25,0.75,0,0,0,3,no
M,M,3,1,0,0,0,0,0,1,no
S,S,1,1,0.75,1,0,0,11,6,no
O,M,2,3,0.75,0.25,0,0,8,2,yes
O,M,2,2,0.5,0,0,0,11,6,no
O,M,1,2,1,0,0,0,2,2,no
O,M,1,1,0.75,0.25,0,0,1,0,yes
O,K,3,1,0.75,0.75,0,0,6,6,yes
Y,K,1,1,1,0,0,0,1,0,yes
M,M,15,14,0.4,0.6,0,0,1,3,no
M,M,13,15,0.4,0.8,0,0,2,5,yes
M,M,16,12,0.8,0.2,0,0,2,1,yes
M,M,16,12,0.4,0.6,0,0,1,1,no
M,M,11,14,0.6,0,0,0,0,0,no
M,M,13,11,0.8,0.2,0,0,0,0,no
M,M,9,10,0.6,0.6,0,0,0,0,yes
M,M,9,10,0.6,0.2,0,0,1,0,yes
M,M,8,7,0.6,1,0,0,1,0,yes
M,M,7,8,0.6,0.2,0,0,0,0,yes
M,M,5,6,0.2,0.6,0,0,1,4,no
M,M,5,6,0.4,0.4,0,0,0,0,yes
M,M,2,4,0.2,0.6,0,0,6,1,yes
M,M,4,1,0.8,0.2,0,0,0,0,no
S,K,1,1,1,0.6,0,0,10,9,yes
O,M,3,1,0.8,0.2,0,0,0,0,yes
O,K,2,1,0.8,0,0,0,1,0,yes
S,O,1,2,0.6,0.4,0,0,12,18,no
O,M,1,3,0.8,0.2,0,0,8,4,yes
M,O,3,1,0,0.8,0,0,4,11,no
Y,M,1,2,1,0.2,0,0,5,0,yes
M,M,16,14,0.3333333333333333,0.6666666666666666,0,0,0,1,yes
M,M,13,15,0.6666666666666666,0.3333333333333333,0,0,1,1,no
M,M,13,12,0.5,0.16666666666666666,0,0,0,0,yes
M,M,16,11,0.8333333333333334,0.3333333333333333,0,0,1,0,yes
M,M,10,15,0.16666666666666666,0.6666666666666666,0,0,1,0,yes
M,M,9,14,0.6666666666666666,0.16666666666666666,0,0,0,0,no
M,M,12,9,0.6666666666666666,0.6666666666666666,0,0,0,1,no
M,M,11,8,0.5,0.6666666666666666,0,0,12,8,no
M,M,7,10,0.8333333333333334,0.5,0,0,1,0,no
M,M,6,8,0.3333333333333333,0.16666666666666666,0,0,2,1,yes
M,M,5,7,0.5,0.6666666666666666,0,0,3,4,yes
M,M,6,4,0.6666666666666666,0.5,0,0,1,3,no
M,M,5,2,0.16666666666666666,0.3333333333333333,0,0,3,1,yes
M,M,1,1,0.3333333333333333,0.16666666666666666,0,0,1,0,no
K,K,1,1,0.5,0,0,0,2,3,no
S,O,1,1,0.5,0.8333333333333334,0,0,5,13,no
O,M,3,4,0.8333333333333334,0.6666666666666666,0,0,21,9,no
O,M,2,2,0.8333333333333334,0.16666666666666666,0,0,5,1,no
O,M,2,3,0.5,0.16666666666666666,0,0,6,3,yes
O,S,1,1,0.8333333333333334,1,0,0,15,6,no
M,Y,3,1,0,1,0,0,2,22,no
M,M,13,14,0.5714285714285714,0.2857142857142857,0,0,0,0,yes
M,M,15,12,0.5714285714285714,0.14285714285714285,0,0,0,3,yes
M,M,12,14,0.5714285714285714,0.5714285714285714,0,0,1,4,no
M,M,11,15,0.42857142857142855,0.42857142857142855,0,0,1,0,yes
