rikishi1_rank_name,rikishi1_rank_level,rikishi1_hth_wins,rikishi2_rank_name,rikishi2_rank_level,rikishi2_hth_wins,y
M,11,0,M,7,0,no
M,6,1,M,14,0,yes
M,15,4,M,6,8,no
M,2,2,M,5,3,no
M,1,1,M,4,0,yes
M,1,3,M,4,9,no
K,1,1,M,2,3,no
K,1,2,M,3,0,no
M,3,1,S,1,2,yes
S,1,0,M,5,0,yes
O,3,13,O,2,24,yes
O,2,13,O,1,25,no
Y,1,19,O,1,3,yes
M,16,1,M,16,1,yes
M,15,2,M,15,1,no
M,14,1,M,14,0,no
M,13,4,M,13,2,no
M,12,2,M,12,6,yes
M,11,0,M,11,1,yes
M,10,2,M,10,1,no
M,9,1,M,9,3,yes
M,8,0,M,8,0,yes
M,7,3,M,7,2,no
M,6,0,M,6,0,yes
M,5,0,M,5,1,no
M,4,5,M,4,1,no
S,1,5,M,3,5,yes
M,3,3,S,1,9,no
O,3,9,M,2,2,yes
M,2,8,O,2,12,no
O,2,2,M,1,0,no
O,1,0,M,1,0,yes
O,1,1,K,1,1,yes
Y,1,12,K,1,0,yes
M,16,1,M,15,0,no
M,13,2,M,16,2,yes
M,13,2,M,15,1,yes
M,12,1,M,14,3,no
M,12,1,M,14,0,yes
M,11,0,M,9,1,no
M,9,0,M,11,0,yes
M,8,2,M,10,0,yes
M,8,1,M,10,0,yes
M,5,8,M,7,2,no
M,5,1,M,7,1,no
M,4,11,M,6,3,yes
M,6,1,M,4,0,yes
S,1,7,M,3,1,yes
M,3,7,S,1,10,no
M,2,2,O,1,6,no
O,3,6,M,2,16,yes
O,2,1,M,1,0,yes
O,2,9,K,1,4,no
O,1,1,K,1,0,yes
Y,1,0,M,1,0,yes
M,15,4,M,16,2,yes
M,16,5,M,15,4,yes
M,13,1,M,14,0,yes
M,13,1,M,14,0,yes
M,12,1,M,11,1,yes
M,11,1,M,12,3,no
M,9,0,M,10,1,no
M,10,3,M,9,2,no
M,8,5,M,7,4,no
M,7,0,M,8,0,yes
M,5,5,M,6,4,no
M,5,2,M,6,0,no
M,3,4,M,4,5,yes
M,3,7,M,4,4,no
S,1,1,K,1,0,yes
O,1,14,M,2,10,yes
O,1,0,M,1,0,yes
S,1,12,O,3,20,yes
O,2,6,K,1,7,no
O,2,6,M,2,1,yes
Y,1,1,M,1,0,yes
M,15,1,M,14,1,yes
M,13,0,M,16,1,no
M,13,5,M,16,1,no
M,15,0,M,12,4,yes
M,11,1,M,14,1,yes
M,10,2,M,12,5,yes
M,9,0,M,11,0,yes
M,8,0,M,10,1,no
M,9,8,M,7,2,yes
M,6,0,M,7,1,no
M,5,0,M,8,0,yes
M,4,0,M,6,0,yes
M,5,1,M,3,4,yes
M,2,6,M,4,3,no
S,1,5,K,1,8,no
O,2,2,K,1,0,yes
O,1,0,M,1,1,yes
S,1,7,O,1,15,yes
M,3,10,O,3,8,no
O,2,0,M,1,0,yes
Y,1,15,M,2,1,yes
M,15,1,M,16,4,no
M,16,0,M,14,3,yes
M,13,0,M,14,1,no
M,12,1,M,15,2,no
M,13,1,M,12,0,yes
M,11,0,M,10,1,yes
M,11,1,M,10,1,yes
M,9,8,M,8,6,no
M,9,2,M,7,4,no
